region	nonsyn-low cost	nonsyn-large cost	syn-low cost	syn-large cost	OR	invOR	pval
vpu	69	21	30	8	0.87619047619	1.14	1.0
vif	112	30	110	18	0.610909090909	1.64	0.152213340125
vpr	58	32	57	14	0.445175438596	2.25	0.0348295808561
nef	99	107	173	7	0.037437199503	26.71	3.65191858877e-28
pol	301	102	747	13	0.0513557497966	19.47	5.78914693856e-37
env	480	263	387	84	0.396144663542	2.52	2.22559873758e-11
gag	174	106	363	14	0.0633089037892	15.8	1.53354405988e-30
all	1293	661	1867	158	0.0633089037892	15.8	1.53354405988e-30
