region	nonsyn-low cost	nonsyn-large cost	syn-low cost	syn-large cost	OR	invOR	pval
vpu	59	17	35	6	0.594957983193	1.68	0.464913682298
vif	111	35	123	14	0.360975609756	2.77	0.00265149714433
vpr	52	25	56	12	0.445714285714	2.24	0.0558418837488
nef	92	84	175	5	0.0312925170068	31.96	2.36852596489e-25
pol	299	92	738	6	0.0264227642276	37.85	1.43364858699e-38
env	511	272	415	91	0.411950744153	2.43	3.38946220444e-11
gag	210	79	366	3	0.0217887528533	45.9	1.38530664902e-27
all	1334	604	1908	137	0.0217887528533	45.9	1.38530664902e-27
